Topic,Count,Name,Representation,Representative_Docs
9,59,9_pandemic_coronavirus_simpsons_predicts,"['pandemic', 'coronavirus', 'simpsons', 'predicts', 'outbreak', 'predicted', 'plandemic', 'foretelling', '2020', 'nostradamus']","['The 1988 animated film Akira predicted the 2020 Olympics would be in Tokyo, and that a pandemic (Coronavirus) would lead to its cancellation.', 'The Simpsons TV show predicted the 2020 new coronavirus outbreak in a 1993 episode.', 'Says The Simpsons predicted the coronavirus.']"
10,57,10_pandemic_obama_coronavirus_barack,"['pandemic', 'obama', 'coronavirus', 'barack', 'trump', 'president', 'obamas', 'donald', 'tweet', 'trumps']","[""United States President Donald Trump tweeted it is unbelievable that President Obama criticized me for the coronavirus response and he had 8 years to 'prepair' the next president for a pandemic and he failed."", ""U.S. President Donald Trump tweeted in November 2009 that Obama's handling of this whole pandemic has been terrible! and that he would never let thousands of Americans die from a pandemic while in office."", 'A viral Facebook post claims President Donald Trump tweeted in 2009 that he would never let thousands of Americans die from a pandemic while in office.']"
11,53,11_fauci_faucis_coronavirus_viral,"['fauci', 'faucis', 'coronavirus', 'viral', 'donald', 'dr', 'facebook', 'anthony', 'infectious', 'microsoft']","['A Facebook post shared more than 5,700 times claims top White House coronavirus adviser Dr. Anthony Fauci said every American should be microchipped.', 'A viral Facebook post claims top White House coronavirus adviser Dr. Anthony Fauci served on Microsoft’s board of directors.', 'Comments on coronavirus from Dr. Anthony Fauci']"
12,53,12_coronavirus_flu_fever_cold,"['coronavirus', 'flu', 'fever', 'cold', 'diseases', 'cough', 'common', 'plagues', 'corona', 'sarscov2']","['An image shared on Facebook more than 3,300 times claims the novel coronavirus is simply the common cold.', 'Novel coronavirus is just the common cold', 'Please note the differences: (1) dry cough + sneeze = air pollution (2) cough + mucus + sneeze + runny nose = common cold (3) Cough + mucus + sneeze + runny nose + body ache + weakness + light fever = flu (4) Dry cough + sneeze + body pain + weakness + high fever + difficulty breathing = coronavirus. Pathology department AIIMS, Delhi. Make this message available to as many people as possible!']"
13,52,13_covid19_covid_mortality_percent,"['covid19', 'covid', 'mortality', 'percent', 'covidomicron', 'survival', 'deathrate', 'deaths', 'rate', 'rates']","['The survival rate for COVID-19 is over 99% for most age groups.', 'Covid-19 has a survival rate of 99.998%.', 'The survival rate from Covid-19 is 99.8%.']"
14,51,14_5g_coronavirus_coronaviruses_3g,"['5g', 'coronavirus', 'coronaviruses', '3g', '4g', 'cellular', 'antennas', 'wireless', 'phones', 'covidsafe']","['A 5G tower powered by a Delta power system, suggests a link between 5G and Covid-19.', 'Says a 5G LAW PASSED while everyone was distracted with the coronavirus pandemic and lists 20 symptoms associated with 5G exposure.', 'Coronavirus is a result of 5G']"
15,48,15_tea_covid19_cures_cure,"['tea', 'covid19', 'cures', 'cure', 'remedy', 'infection', 'steaming', 'treat', 'juice', 'vinegar']","['Inhaling steam from herbal tea cures Covid-19', 'Drinking pepper stem tea can prevent or cure Covid-19', 'No, hot steam and tea can’t cure Covid-19']"
16,45,16_vaccines_vaccine_tested_covid19,"['vaccines', 'vaccine', 'tested', 'covid19', 'rabies', 'federallyrequired', 'mice', 'trials', 'infection', 'serums']","['The mRNA Covid-19 vaccines have not been tested on animals.', 'Says combined doses of vaccines have never been tested.', 'The booster vaccines have not been tested on humans at all during studies; they were tested only on mice.']"
17,43,17_coronavirus_vinegar_virus_cures,"['coronavirus', 'vinegar', 'virus', 'cures', 'cure', 'water', 'gargling', 'mouthwash', 'saline', 'wash']","['No, gargling salt or vinegar water will not cure coronavirus', 'Drinking water a lot and gargling with warm water & salt or vinegar eliminates the coronavirus.', 'Drinking water will cure coronavirus']"
18,40,18_pandemic_workforce_workers_unemployment,"['pandemic', 'workforce', 'workers', 'unemployment', 'employees', 'employment', 'riots', 'jobs', 'employers', 'people']","['We now have more job openings than we do people who are on unemployment. We have 60% more job openings today than we did the month before the pandemic hit the state of Texas.', 'There are more people in work than there were before the pandemic.', 'There are now more people in work than there were before the pandemic began.']"
19,40,19_deaths_covid19_covid_death,"['deaths', 'covid19', 'covid', 'death', 'died', 'positive', 'overcount', 'nhs', '21st', 'test']","['People who die within 28 days of a positive Covid-19 test have Covid put on their death certificate automatically.', 'To the end of 2021, there have been 156,924 deaths within 28 days of a positive Covid-19 test in the UK.', 'There were five deaths within 28 days of a positive Covid-19 test in the UK.']"
20,38,20_coronavirus_covid19_bodies_italy,"['coronavirus', 'covid19', 'bodies', 'italy', 'victims', 'italians', 'hospitals', 'italys', 'patients', 'italian']","['An image shared on Facebook purportedly shows the bodies of people who have died from the new coronavirus in the streets of Italy.', 'Coffins of coronavirus victims in Italy', 'Video shows body bags of coronavirus victims in Italy']"
21,37,21_vaccination_vaccinated_vaccinecaused_unvaccinated,"['vaccination', 'vaccinated', 'vaccinecaused', 'unvaccinated', 'percentage', 'percent', 'population', 'european', 'british', 'uk']","['60% of patients admitted to the hospital in the UK have been fully vaccinated', 'The percentage of the UK population who have received a booster vaccine is double that of the EU.', ""„More than 70 percent of adults in the EU are fully vaccinated'""]"
22,36,22_covid19_tested_testing_tests,"['covid19', 'tested', 'testing', 'tests', 'screening', 'test', 'countries', 'ghana', 'kits', 'country']","['South Korea has tested 200,000 people for coronavirus, prioritizing the most vulnerable people. The CDC only tested 77 people this week. Yet, the Utah Jazz was able to test all 58 players in a matter of hours.', 'Data from the World Integrated Trade Solutions website shows that Covid-19 testing kits were being bought and sold by countries long before the pandemic.', ""Data displayed on the World Bank's World Integrated Trade Solution (WITS) website in September 2020 proved that dozens of nations imported or exported items labeled COVID-19 Test Kits in 2018 — more than a year before the pandemic occurred and before COVID-19 even had a name.""]"
23,36,23_vaccine_vaccinated_covid19_margaret,"['vaccine', 'vaccinated', 'covid19', 'margaret', 'pfizer', 'photograph', 'pfizerbiontech', 'rand', 'keenan', 'photo']","['A viral Facebook post claims Margaret Keenan, the first U.K. recipient of the Pfizer/BioNTech COVID-19 vaccine, is a crisis actor.', ""CNN report used 'recycled' photo of Margaret Keenan, first coronavirus vaccine recipient outside clinical trial in the UK]"", 'A tweet claims Margaret Keenan, the first U.K. recipient of the Pfizer-BioNTech COVID-19 vaccine outside a clinical trial, wore the same clothes while receiving the second dose of the vaccine as she wore while receiving the first dose.']"
24,35,24_swab_swabs_swabbing_covid19,"['swab', 'swabs', 'swabbing', 'covid19', 'tests', 'diagnostic', 'testing', 'test', 'labs', 'selftest']","['An image shared on Facebook claims the nasal swab used to test for COVID-19 obtains a sample from the blood-brain barrier.', 'Positive and negative control swabs in Covid-19 test kits are used to fix test results', 'Photo that shows COVID-19 test swabs labeled positive and negative proves that the tests are fixed.']"
25,35,25_walmart_shopping_covid19_retail,"['walmart', 'shopping', 'covid19', 'retail', 'quickmart', 'grocery', 'stores', 'store', 'pandemic', 'malls']","['A meme details a staggered shopping schedule implemented by Walmart during the COVID-19 pandemic.', 'Walmart is adopting a staggered shopping schedule by age group during the COVID-19 pandemic.', 'An image shared on Facebook more than 700 times claims Walmart has adopted a staggered shopping schedule by age groups due to the ongoing coronavirus pandemic.']"
26,34,26_covid_sinovac_beijing_aidscovid,"['covid', 'sinovac', 'beijing', 'aidscovid', 'shanghai', 'hazmat', 'shanghais', 'china', 'chinese', 'zerocovid']","['A video shows a group of young children in China wearing hazmat suits to protect them against COVID-19.', 'A video recorded in November 2022 shows Chinese officials in white protective hazmat suits carrying people down a hallway to be quarantined for COVID-19.', 'This video shows coronavirus patients in China']"
27,34,27_deaths_covid_covid19_suicides,"['deaths', 'covid', 'covid19', 'suicides', 'overdoses', 'suicide', 'overdose', 'death', 'died', '2021']","['More suicide deaths than coronavirus death past two months.', 'There were more suicide deaths than coronavirus deaths in the last two months.', 'More people died of suicide in 2020 than died of COVID-19.']"
28,33,28_pilots_vaccine_vaccination_vaccinated,"['pilots', 'vaccine', 'vaccination', 'vaccinated', 'unvaccinated', 'airlines', 'airline', 'aviation', 'flying', 'flights']","['The World Economic Forum hired unvaccinated pilots to fly people into Davos, Switzerland, for its annual meeting for safety reasons.', 'Southwest Airlines canceled a large number of flights in early October 2021 due to pilots calling out sick in protest of COVID-19 vaccine mandates.', 'Airlines begin to ban vaccinated people after Pilots die due to vaccine']"
29,33,29_vaccines_vaccine_vaccination_vaccinations,"['vaccines', 'vaccine', 'vaccination', 'vaccinations', 'bans', 'banned', 'prohibited', 'children', 'violate', 'jabbed']","['A post shared on Facebook claims the U.K. has banned the COVID-19 vaccine for children over concerns about adverse effects on children.', 'The UK has banned the Covid-19 vaccine for children under 12.', 'A post shared on Facebook alleges Denmark has banned the COVID-19 vaccine for children.']"
30,33,30_hydroxychloroquine_chloroquine_covid1_covid19,"['hydroxychloroquine', 'chloroquine', 'covid1', 'covid19', 'cure', 'cures', 'treatment', 'antimalaria', 'molnupiravir', 'treat']","['Ivermectin, hydroxychloroquine cure Covid-19', 'Hydroxychloroquine is the cure for COVID-19', 'Hydroxychloroquine and chloroquine are cures for the new coronavirus.']"
31,32,31_ivermectin_ivermectins_covid_covid19,"['ivermectin', 'ivermectins', 'covid', 'covid19', 'antiviral', 'treatment', 'treatments', 'antiparasite', 'cure', 'dexamethasone']","['Suggests ivermectin is an effective treatment for COVID-19', 'Queen Elizabeth II is taking ivermectin to treat COVID-19.', 'Ivermectin is an effective treatment for COVID-19.']"
32,32,32_hindus_hindu_indias_india,"['hindus', 'hindu', 'indias', 'india', 'indians', 'covid19', 'indian', 'casualties', 'muslims', 'lanka']","['In 2021, Hindus in India threw away religious idols en masse, in anger and despair at a surge in COVID-19 infections and deaths.', 'A picture showing people unwell on the streets of India was taken during a gas leak in 2020, not during the Covid-19 pandemic in 2021. This suggests that casualties from the current wave of Covid-19 in India are being exaggerated, and that Covid-19 is a conspiracy.', 'The Hindu extremist group RS, to which Prime Minister Modi and the ruling party belong, severely beaten Aisha, a Muslim doctor, in a hospital. The trivial reason is accusations that Muslims are spreading the Coronavirus, and India is witnessing a fierce campaign against Muslims led by the ruling Hindu party.']"
33,30,33_covid19_pcr_covid_diagnostic,"['covid19', 'pcr', 'covid', 'diagnostic', 'flu', 'rtpcr', 'cdc', 'tests', 'virus', 'diagnose']","['A post shared on Facebook claims the Centers for Disease Control and Prevention (CDC) said polymerase chain reaction (PCR) tests do not distinguish between COVID-19 and the flu.', 'PCR tests for Covid-19 have a 100% false positive rate.', 'The CDC is removing its request for emergency use authorisation of PCR tests. This is evidence that PCR tests don’t work, are fraudulent and cannot distinguish between influenza and Covid-19.']"
34,29,34_vaccinated_vaccine_vaccination_vaccines,"['vaccinated', 'vaccine', 'vaccination', 'vaccines', 'immunisation', 'anesthesia', 'antibody', 'chemotherapy', 'anaesthesia', 'sedation']","[""People who are fully vaccinated against COVID-19 are prohibited from receiving any type of anesthesia, supposedly because it's a great hazard and could cause a vaccinated patient to die immediately."", 'Anyone who has been vaccinated against coronavirus is prohibited from taking any type of anesthetic, even local anesthetics or dentist’s anesthetics, because this poses a great danger to the life of the vaccinated person and is highly dangerous. There is a possibility of death.. Therefore, the vaccinated person must wait 4 weeks after the vaccination. If he has a reaction, he can administer anesthetic only 4 weeks after the antibody develops. A Pharmacy’s friend relative was vaccinated two days ago. He went to the dentist yesterday and died immediately after receiving local anesthetics. After reading the warning about the coronavirus vaccination in the vaccine box, we discovered that after the coronavirus vaccine was given, there was a warning not to take anesthetics. Please spread this information to protect your family, relatives, friends and everyone', ""【Vaccination Warning】 Anyone who has been vaccinated against coronavirus is prohibited from taking any type of anesthetic, even local anesthetics or dentist's anesthetics, because this poses a great danger to the life of the vaccinated person and is highly dangerous. There is a possibility of death.. Therefore, the vaccinated person must wait 4 weeks after the vaccination. If he has a reaction, he can administer anesthetic only 4 weeks after the antibody develops. A Pharmacy's friend relative was vaccinated two days ago. He went to the dentist yesterday and died immediately after receiving local anesthetics. After reading the warning about the coronavirus vaccination in the vaccine box, we discovered that after the coronavirus vaccine was given, there was a warning not to take anesthetics. Please spread this information to protect your family, relatives, friends and everyone.""]"
35,28,35_kenya_kenyan_kenyans_nairobi,"['kenya', 'kenyan', 'kenyans', 'nairobi', 'kenyas', 'tanzanian', 'coronavirus', 'curfew', 'maasai', 'tanzania']","['Kenyans waiting for coronavirus curfew crackdown? No, photo from 2011', 'No, photo not of police brutality during Kenya’s coronavirus curfew', 'A video shared on Facebook purportedly shows a member of a Maasai tribe in Kenya whipping people who violate the country’s curfew during the coronavirus pandemic.']"
36,28,36_nonvaccinated_vaccine_unvaccinated_vaccinated,"['nonvaccinated', 'vaccine', 'unvaccinated', 'vaccinated', 'educated', 'pandemics', 'covid19', 'susceptible', 'fda', 'effectiveness']","['An image shared on Instagram claims a member of the Food and Drug Administration (FDA) vaccine advisory committee said unvaccinated people are more educated about COVID-19 vaccines than those who are vaccinated.', 'The FDA advisory board said unvaccinated people are more educated than most people who have gotten the COVID-19 vaccines.', 'An image shared on Instagram claims a Yale University study found that people who are vaccinated against COVID-19 are more likely to be infected with the virus than those who are unvaccinated.']"
37,27,37_vaccinations_vaccinated_unvaccinated_vaccinate,"['vaccinations', 'vaccinated', 'unvaccinated', 'vaccinate', 'covid19', 'australians', 'biosecurity', 'australias', 'queensland', 'australian']","['Australia has approved an application to forcibly vaccinate its citizens via ‘chemtrails’.', 'The premier of Australia’s Victoria state is freezing people’s bank accts if they are not vaccinated. They can’t buy or sell until forced into submission.', 'An image shared on Facebook purportedly shows a press release from Daniel Andrews, the premier of Australia’s Victoria state, that talks about his recent hospitalization and calls the COVID-19 vaccine experimental gene editing.']"
38,27,38_infertility_vaccine_vaccines_fertility,"['infertility', 'vaccine', 'vaccines', 'fertility', 'infertile', 'sperm', 'reproductive', 'immunized', 'sterile', 'placenta']","['MR Vaccine Causes Infertility', 'MR Vaccine causes infertility', 'Coronavirus can lead to infertility']"
39,27,39_monkeypox_shingles_vaccine_vaccineinduced,"['monkeypox', 'shingles', 'vaccine', 'vaccineinduced', 'vaccineacquired', 'chickenpoxinfected', 'smallpox', 'outbreak', 'covid', 'virus']","['Shingles has been renamed monkeypox. Herpes zoster, the virus which causes shingles, is included in Pfizer’s list of adverse events for the Covid-19 vaccine, indicating monkeypox is caused by the vaccine.', 'Monkeypox is ‘vaccine acquired shingles’.', 'Monkeypox and shingles are the same disease, caused by vaccine']"
40,26,40_vaccine_died_vaccination_covid19,"['vaccine', 'died', 'vaccination', 'covid19', 'complications', 'hagler', 'shot', 'grant', 'hank', 'gottfried']","['A photo shared on Facebook purports sports journalist Grant Wahl died of an aortic aneurysm caused by the COVID-19 vaccine.', 'American sports journalist Grant Wahl died from Covid-19 vaccination', 'Hank Aaron and Marvelous Marvin Hagler died after taking the COVID-19 vaccine.']"
41,26,41_vaccination_vaccinated_parental_consent,"['vaccination', 'vaccinated', 'parental', 'consent', 'preschool', 'schoolchildren', 'children', 'child', 'parents', 'detained']","[""WHO says child's presence at school is enough consent for vaccination"", 'WHO now says your child’s presence in school counts as ‘informed consent’ for vaccination - parental presence not required.', 'The WHO now says a child’s presence in school counts as informed consent for a vaccination and parental presence is not required.']"
42,26,42_nonvaccinated_vaccination_vaccinated_vaccine,"['nonvaccinated', 'vaccination', 'vaccinated', 'vaccine', 'donor', 'donating', 'donors', 'donation', 'donate', 'antibodies']","['Says if you donate blood, they HAVE to test you for coronavirus.', 'An image shared on Facebook claims the American Red Cross reports that vaccinated people cannot donate blood because the vaccine completely destroys their natural antibodies.', 'The Red Cross says people vaccinated against Covid-19 cannot donate blood plasma because the vaccine wipes out antibodies.']"
43,24,43_vaccine_vaccinated_vaccination_djokovic,"['vaccine', 'vaccinated', 'vaccination', 'djokovic', 'covid19', 'federer', 'novak', 'tennis', 'nadal', 'video']","['A video shared on Facebook claims Spanish tennis player Rafael Nadal collapsed during a press conference as the result of the side effects of a COVID-19 vaccine.', 'A video shows Rafael Nadal and Roger Federer mocking Novak Djokovic for getting stuck at an airport due to his COVID-19 vaccination status.', 'A video shared on Twitter purportedly shows tennis players Rafael Nadal and Roger Federer mocking fellow player Novak Djokovic after he was detained in Australia over his vaccination status.']"
44,24,44_coronavirus_coronavirusrelated_deaths_hospitalized,"['coronavirus', 'coronavirusrelated', 'deaths', 'hospitalized', 'infections', 'percent', 'flu', 'facilities', 'care', 'fatality']","['25% of coronavirus deaths in Wales are in care facilities.', '61% of coronavirus deaths in Norway are in care facilities.', '66% of coronavirus deaths in France are from care facilities.']"
45,24,45_vaccine_vaccines_dna_infectious,"['vaccine', 'vaccines', 'dna', 'infectious', 'mutations', 'genetic', 'crispr', 'genetically', 'altering', 'diseases']","['Covid-19 vaccines can change your DNA.', 'Covid-19 vaccines will change your DNA.', 'The vaccine will change your DNA.']"
46,23,46_coronavirus_vaccine_vaccinating_outbreak,"['coronavirus', 'vaccine', 'vaccinating', 'outbreak', 'patent', 'canine', 'existed', 'existence', 'animal', 'cattle']","['Coronavirus already existed because vaccine for animal coronavirus exists', 'The vaccine for coronavirus existed since 2001 and 19 years later they say there is no vaccine', 'An image they keep removing from social media proves a canine coronavirus vaccine existed in 2001, and public health officials are lying about there being no vaccine for COVID-19.']"
47,23,47_coronavirusinfected_pneumonia_covid19induced_throat,"['coronavirusinfected', 'pneumonia', 'covid19induced', 'throat', 'infection', 'fever', 'infected', 'coughing', 'symptoms', 'infects']","['Covid-19 starts with a sore throat lasting 3-4 days. It then blends into a nasal fluid that enters the trachea and the lungs, causing pneumonia, which takes about 5 or 6 days. With pneumonia comes high fever and difficulty breathing. The nasal congestion makes you feel like you’re drowning.', ""The symptoms of Covid-19 are a sore throat lasting 3 or 4 days. The virus then blends into nasal fluid, enters the trachea and then the lungs causing pneumonia. With pneumonia comes high fever and difficulty breathing. The nasal congestion feels like you're drowning"", 'The symptoms of Covid-19 are that it first infects the throat, so you’ll have a sore throat lasting 3 or 4 days. The virus then blends into nasal fluid that enters the trachea and then the lungs causing pneumonia. This takes about 5 or 6 days. With pneumonia comes high fever and difficulty breathing']"
48,23,48_myocarditis_vaccinated_pericarditis_vaccines,"['myocarditis', 'vaccinated', 'pericarditis', 'vaccines', 'vaccination', 'vaccine', 'myocardial', 'cardiac', 'vaccineacquired', 'covidfar']","['Queensland chief health officer admits vaccinated dying from myocarditis', 'Deaths among children between September to October may have been caused by myocarditis or pericarditis (inflammatory heart conditions which have been reported as a side effect of vaccination).', 'There are an estimated 1,500 cases of myocarditis per million patients with Covid—far greater than the risk of myocarditis following vaccination.']"
49,23,49_zealands_nz_zealand_zealanders,"['zealands', 'nz', 'zealand', 'zealanders', 'covid', 'auckland', 'governments', 'ardern', 'rugby', 'mps']","['New Zealand Government can force citizens to be vaccinated', 'An image shared on Facebook claims to show a New Zealand Herald article about the New Zealand government’s alleged plan to lace city water supplies with COVID-19 vaccines.', 'There’s more cases of Covid in the White House than in all of New Zealand.']"
50,23,50_covid19_treatments_remedies_treatment,"['covid19', 'treatments', 'remedies', 'treatment', 'remedy', 'cured', 'infection', 'antibiotic', 'treatable', 'treat']","['A leader of the National Health Service (NHS) warned against the advice of Gwyneth Paltrow for treating lingering effects of COVID-19.', 'List of remedies proven to prevent or minimise side effects of Covid-19 vaccination', 'Accurate health advice about COVID-19 home remedies']"
51,23,51_pelosis_pelosi_nancy_coronavirus,"['pelosis', 'pelosi', 'nancy', 'coronavirus', '2020', 'democrats', 'funding', 'dems', 'taxpayer', 'relief']","['U.S. House Speaker Nancy Pelosi held up a coronavirus funding package so that Democrats could run negative ads about Republicans that made the latter look bad.', 'Because of U.S. House Speaker Nancy Pelosi, the federal government had not approved a COVID-19 economic relief package in fall 2020.', 'An image shared on Facebook purportedly shows House Speaker Nancy Pelosi didn’t actually receive the COVID-19 vaccine because the orange cap remained on the needle.']"
52,22,52_covid19_africa_africas_africans,"['covid19', 'africa', 'africas', 'africans', 'african', 'uganda', 'south', 'aid', 'madagascars', 'lockdown']","[""South Africa's president asks foreigners to leave due to COVID-19"", 'Yes, sale of cigarettes, alcohol still banned under South Africa’s level four coronavirus lockdown', 'No, Ramaphosa not asking foreigners to leave South Africa, no announcement of extended Covid-19 lockdown']"
53,22,53_vaccines_vaccine_covid19_pesticides,"['vaccines', 'vaccine', 'covid19', 'pesticides', 'pharmaceutical', 'modernas', 'moderna', 'veterinary', 'synthetic', 'ingredient']","['The Moderna vaccine contains an ingredient that is for research use only, not meant for human or veterinary use.', 'An image shared on Facebook claims the U.S. military found pesticides in COVID-19 vaccines produced by the pharmaceutical company Moderna.', 'The US military has found pesticides in Moderna’s Covid-19 vaccines.']"
54,22,54_covid19_viral_died_autopsy,"['covid19', 'viral', 'died', 'autopsy', 'fakenews', 'hoax', 'disease', 'complications', 'malaria', 'media']","['The same child was reported to have died in three different countries from Covid-19.', 'Media outlets reported that the same boy died 3 times from the coronavirus, in 3 countries.', 'An image shared on Instagram purports three media outlets reported the death of the same boy from COVID-19 in three different countries.']"
55,21,55_vaccines_covid_covid19_virus,"['vaccines', 'covid', 'covid19', 'virus', 'risks', 'malaria', 'effectiveness', 'dangers', 'unsafe', 'trials']","['We don’t know the Covid-19 vaccines are safe because the trial of them is still underway and won’t finish until 2023 so anyone getting the vaccine is being experimented on.', 'Yes, Covid vaccine was developed more rapidly than other vaccines, but doesn’t make it unsafe', 'The length of time it took to discover thalidomide’s dangers proves more time should be spent researching medicines, particularly Covid-19 vaccines.']"
56,21,56_coronavirus_pathogens_vitamin_corona,"['coronavirus', 'pathogens', 'vitamin', 'corona', 'cold', 'cure', 'foods', 'sanitizer', 'prevent', 'pepper']","['If the new coronavirus is exposed to a temperature of 26-27oC it will be killed, as it does not live in hot regions. Also drinking hot water and sun exposure will do the trick and staying away from ice cream and cold food is advised.', 'Vitamin D, vitamin C, colloidal silver and black seed oil can kill the coronavirus.', 'A tweet claims people should avoid consuming ice cream and other cold food products to help prevent contracting the new coronavirus.']"
57,20,57_funding_aid_coronaviruseconomicrelief_trillion,"['funding', 'aid', 'coronaviruseconomicrelief', 'trillion', 'spending', 'pandemic', 'funds', 'pay', 'federal', 'debt']","['$1.9 trillion pandemic relief act includes enough money to pay every American $1 million.', 'Gov. Tony Evers has only gotten one-third of the money meant for COVID relief out the door. He is sitting on $930 million in ARPA funds left unspent. In fact, he still has CARES Act money from two years ago.', 'The coronavirus relief package passed by U.S. Congress in December 2020 included aid to foreign countries, while giving Americans $600 relief checks.']"
58,20,58_vaccine_vaccinated_vaccinerelated_deaths,"['vaccine', 'vaccinated', 'vaccinerelated', 'deaths', 'measles', 'population', 'death', 'statistics', 'japan', 'die']","['An image shared on Facebook alleges Japan has the lowest infant mortality rate while the U.S. has the highest and suggests vaccines play a role in the difference.', 'Japan has the lowest infant death rate, no child under two is vaccinated. The US has the highest infant death rate and gives 28 doses of vaccines by age two.', 'Per the CDC, there are nearly twice as many vaccine-related deaths so far in 2021 (1,755) than all the vaccine deaths this past decade (994).']"
