Topic,Count,Name,Representation,Representative_Docs
9,39,9_biden_putin_ukraine_impeach,"['biden', 'putin', 'ukraine', 'impeach', 'ukrainian', 'ukraines', 'bidens', 'russian', 'russia', 'bidenowned']","[""Fact: Joe Biden pressured Ukraine to fire its prosecutor .... Fact: the prosecutor said he was forced out for leading a corruption probe into Hunter Biden's company. Fact: Democrats want to impeach President Trump for discussing this investigation with Ukraine's President."", 'An image shared on Facebook allegedly shows a CNN chyron claiming Russian President Vladimir Putin will not invade Ukraine until U.S. President Joe Biden delivers weapons to the country for Russia to capture.', 'When Joe Biden’s son Hunter was serving as a director to Ukraine’s largest private gas producer, the elder Biden threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into the gas company.']"
10,34,10_kneeling_biden_knelt_knee,"['kneeling', 'biden', 'knelt', 'knee', 'kneels', 'bidens', 'joe', 'kneepads', 'president', 'protest']","['An image shared on Facebook over 3,200 times purportedly shows former Vice President Joe Biden kneeling in protest after seeing an American flag during a visit to his hometown.', ""US President Trump's new president Joe Biden has apologized for kneeling in front of the daughter of a black man who was strangled to death by white American police during the Trump administration."", 'The new US President Joe Biden kneeling and apologising in front of the daughter of a black man who was strangled to death by white American police during the Trump administration']"
11,32,11_biden_medicare_obamacare_obamabiden,"['biden', 'medicare', 'obamacare', 'obamabiden', 'seniors', 'romney', 'benefits', 'older', 'joe', 'insurance']","['Biden announced free dental coverage for all seniors through Medicare', 'Says Joe Biden tried to cut Social Security and Medicare for decades. ... Now Biden’s promising your benefits to illegal immigrants.', 'In 1983, Joe Biden voted in favor of taxing 50% of Social Security and in 1993, Biden was the deciding vote in raising the percentage taxed on Social Security from 50% to 85%.']"
12,30,12_biden_pelosi_harris_kamala,"['biden', 'pelosi', 'harris', 'kamala', 'bidens', 'pence', 'harriss', 'vice', 'presidential', 'president']","['On March 18 2021, U.S. President Joe Biden described Vice President Kamala Harris as President Harris.', 'A video shows U.S. President Joe Biden accidentally referring to Vice President Kamala Harris as President Harris.', 'Vice presidential candidate Kamala Harris said Joe Biden is trash to me.']"
13,28,13_mask_masks_maskless_biden,"['mask', 'masks', 'maskless', 'biden', 'face', 'joe', 'distancing', 'photograph', 'image', 'photo']","['An image shared on Facebook purportedly shows Democratic presidential nominee Joe Biden not wearing a face mask on an airplane during the COVID-19 pandemic.', 'Says Joe Biden was the only world leader to wear a face mask during a video conference.', 'An image shared on Facebook purportedly shows Democratic presidential nominee Joe Biden violating social distancing guidelines and not wearing a mask at a recent event.']"
14,28,14_biden_jill_lady_wife,"['biden', 'jill', 'lady', 'wife', 'joe', 'divorce', 'her', 'facebook', 'she', 'first']","['A video shared on Facebook claims President Joe Biden has filed for divorce from his wife and First Lady Jill Biden.', 'An image shared on Facebook claims President Joe Biden started a physical relationship with First Lady Jill Biden while she was his teenage baby sitter and his first wife was hospitalized.', 'An image shared on Facebook allegedly shows First Lady Jill Biden wearing a lobster jacket to an event.']"
15,27,15_biden_orders_presidency_president,"['biden', 'orders', 'presidency', 'president', 'executive', 'order', 'joe', 'signing', 'signed', 'violated']","['Video shows US President Joe Biden signing blank executive orders', 'Joe Biden signed blank executive orders on the first day of his presidency', 'A post shared on Facebook claims President Joe Biden signed blank executive orders.']"
16,26,16_biden_pelosis_marines_marine,"['biden', 'pelosis', 'marines', 'marine', 'servicemen', 'troops', 'commandant', 'bidens', 'inauguration', 'president']","['the commandant of the US Marine Corps denied Speaker of the House Nancy Pelosi’s request for troops to provide security for Joe Biden’s inauguration', 'A viral Facebook post shared over 500 times claims Gen. David Berger, commandant of the U.S. Marine Corps, refused House Speaker Nancy Pelosi’s request for 5,000 troops to help safeguard Biden’s Jan. 20 inauguration from Trump supporters and insurrectionists.', 'Gen. David H. Berger, commandant of the U.S. Marines, refused U.S. House Speaker Nancy Pelosi’s request to use the Marines as security for President-elect Joe Biden’s inauguration on Jan. 20, 2021, saying, We don’t work for you! and adding that the Marines only take orders from President Donald Trump.']"
17,24,17_amendment_biden_militia_guns,"['amendment', 'biden', 'militia', 'guns', 'filibuster', 'gun', 'rights', 'handguns', 'president', 'mueller']","['The Biden administration wants to create an international oversight committee to alter or cancel Second Amendment rights.', 'A video shared on Facebook purportedly shows President Joe Biden stating that the government will gather up every gun in America.', 'If elected, U.S. Democratic presidential candidate Joe Biden wants to abolish the Second Amendment, regarding the right of the people to keep and bear Arms.']"
18,23,18_biden_inflation_trillion_incomes,"['biden', 'inflation', 'trillion', 'incomes', 'economy', 'obama', 'jobs', 'growth', 'poorer', '40year']","['President Biden has created more jobs in his first 7 months than any POTUS in history.', ""The Biden administration inherited gains of 50,000 jobs a month. We're now finally back to 500,000 jobs a month. We inherited a country where 4,000 people a day were dying from Covid. That's now down 75%."", 'The Biden administration has created more than double the number of jobs per month, on average, than any other administration going back to George H.W. Bush.']"
19,19,19_biden_vietnam_refugees_reagans,"['biden', 'vietnam', 'refugees', 'reagans', 'roosevelt', 'vietnamese', 'war', 'article', 'opposed', 'economy']","['In 1975, then-U.S. Sen. Joe Biden blocked aid to South Vietnam and did not allow admittance of Vietnamese refugees into the United States.', 'An image shared on Facebook purportedly shows an article from The Atlantic titled The Quiet Courage of Biden’s Negative Growth Economy.', ""On foreign policy, Joe Biden was against aid for Vietnam, said the fall of the Shah was a step forward for human rights in Iran, opposed Reagan's defense build-up and voted against the first Gulf War.""]"
20,18,20_biden_loans_funding_funded,"['biden', 'loans', 'funding', 'funded', 'loan', 'debt', 'debts', 'colleges', 'universities', 'donated']","['President Joe Biden claimed in a forum Oct. 23 that he signed a law into effect regarding student loan debt forgiveness.', 'An image shared on Facebook claims President Joe Biden canceled $250 million in funding that former President Donald Trump gave to historically black colleges and universities (HBCUs).', 'U.S. President Joe Biden revoked $250 million in funding for Historically Black Colleges and Universities pledged by former President Donald Trump.']"
21,17,21_biden_refused_benedict_obamabiden,"['biden', 'refused', 'benedict', 'obamabiden', 'benedicts', 'pope', 'vice', 'funeral', 'ignored', 'president']","['The Biden White House had no representative who came to honor the return of the 13 service members’ remains at Dover Air Force Base.', 'Pope Benedict XVI and the Vatican requested that President Biden not attend Benedict’s funeral.', 'Pope Benedict XVI requested that U.S. President Joe Biden not be invited to his funeral.']"
22,13,22_biden_bidens_shepherd_dog,"['biden', 'bidens', 'shepherd', 'dog', 'dogs', 'fish', 'joe', 'presidentelect', 'humane', 'chew']","['An image shared on Facebook attributes to President Joe Biden a quote that reads, Buy a man eat fish, he day, teach fish man, to a lifetime.', ""The Delaware Humane Association dog shelter is celebrating Major’s ascension to first dog ahead of U.S. President Joe Biden's inauguration with a virtual Indoguration party and fundraiser on Jan. 17, 2021."", ""In early March 2021, U.S. President Joe Biden and first lady Jill Biden's two dogs were sent to their family home in Delaware because the youngest dog, Major, bit someone at the White House.""]"
23,13,23_biden_bidens_rolex_grandson,"['biden', 'bidens', 'rolex', 'grandson', 'grandfather', 'vice', 'joe', 'uncle', 'wore', 'president']","[""Says Biden's Rolex belonged to his late son Beau."", 'After Joe Biden became vice president, at the behest of his father, he gave his uncle, Frank H. Biden, a Purple Heart for serving in the U.S. military during World War II.', 'After he became vice president in 2008, current U.S. President Joe Biden gave his uncle, Frank H. Biden, a Purple Heart for his military service in the Battle of the Bulge during World War II.']"
24,12,24_biden_asleep_snoring_joe,"['biden', 'asleep', 'snoring', 'joe', 'video', 'sleeping', 'bennett', 'interview', 'tv', 'recorded']","['Video shows Joe Biden asleep during a live TV interview', 'A video shows the U.S. President Joe Biden falling asleep during a conversation with Israeli Prime Minister Naftali Bennett, on Aug. 27, 2021.', 'A video shared on Facebook purportedly shows President Joe Biden asleep during a meeting with Israeli Prime Minister Naftali Bennett.']"
25,11,25_biden_defunding_bidenbernie_defund,"['biden', 'defunding', 'bidenbernie', 'defund', 'police', 'bidens', 'enforcement', 'joe', 'vice', 'department']","[""Charlie Crist supported Biden's agenda to defund the police."", 'President Donald Trump claimed on Twitter that former Vice President Joe Biden wants to defund the police.', 'Says Joe Biden wants to defund the police.']"
26,11,26_biden_arrested_election_electoral,"['biden', 'arrested', 'election', 'electoral', 'fraud', 'bidens', 'voter', 'campaign', 'presidentelect', 'stole']","['Biden campaign director arrested for electoral fraud.', 'A photograph shows Dallas Jones, a Joe Biden campaign director, being arrested for electoral fraud.', 'Biden’s Texas campaign director was arrested for election fraud']"
27,10,27_resigned_biden_resign_resignation,"['resigned', 'biden', 'resign', 'resignation', 'bidens', 'joe', 'president', 'trump', 'presidentelect', 'republican']","['Joe Biden forced the U.S. Attorney for the Eastern District of North Carolina to resign after 24 people were charged with election fraud and the Mainstream Media never even batted an eyelash.', 'A video shared on Facebook claims President Joe Biden and Vice President Kamala Harris have resigned and former President Donald Trump has been reinstated as president.', 'A video shared on Facebook purports Republican Iowa Sen. Chuck Grassley called for President Joe Biden’s resignation due to revelations regarding the Hunter Biden laptop scandal.']"
